0.60012,0.67703,0.95789
0.46982,0.56575,0.87097
0.33962,0.42972,0.72613
0.22414,0.28474,0.49703
0.13635,0.17867,0.31235
0.090145,0.10451,0.16329
0.11335,0.13943,0.58921
0.11958,0.41079,0.30407
0.35057,0.098526,0.15115
0.55013,0.56392,0.24996
0.45885,0.18539,0.60207
0,0.36948,0.85745
0.46138,0.25505,0.16836
0.1896,0.21449,0.80119
0.43272,0.16077,0.30769
0.17771,0.12282,0.34488
0.32941,0.53268,0.30174
0.51937,0.42089,0.22978
0.19003,0.15353,0.19776
0.44501,0.36554,0.53402
0.19754,0.31684,0.72172
0.15521,0.25046,0.2229
0.3207,0.35896,0.86345
0.21769,0.57276,0.77922
