270.256,873.96,242.3,185.976
14.4,13.8,36.8,37.2
132.4,156,156.2,132.4
52.4,52,75,75.2
132.4,156.2,156.2,132.6
90.4,90.2,113,113
132.6,156.2,156.2,132.6
128.2,128.2,150.8,150.8
132.6,156.2,156.2,132.8
165.8,166,188.6,188.4
132.8,156.2,156.2,132.8
203.4,203.6,226.2,225.8
132.8,156.2,156.4,132.8
15.4,14.8,37.6,38.2
93.6,116.8,116.8,93.6
53.2,52.8,75.4,75.8
93.6,116.8,117,93.8
90.8,90.6,113.2,113.2
93.8,117,117,93.8
128.2,128.2,150.6,150.6
94,117,117.2,94
165.6,165.6,188.2,187.8
94,117.2,117.2,94.2
202.8,203,225.4,225
94.2,117.2,117.4,94.2
16.6,15.8,38.4,39
55.2,78.2,78.2,55.4
53.8,53.4,76,76.2
55.4,78.2,78.4,55.6
91.2,90.8,113.2,113.4
55.6,78.4,78.6,55.8
128.2,128.2,150.6,150.4
55.8,78.6,78.8,56
165.2,165.4,187.6,187.4
56,78.8,78.8,56.2
202.2,202.4,224.6,224.2
56.2,79,79,56.4
17.4,17,39.2,39.8
17.6,40.2,40.2,17.8
54.6,54.2,76.4,76.8
18,40.4,40.6,18
91.4,91.2,113.4,113.6
18.2,40.6,40.8,18.4
128.2,128.2,150.4,150.2
18.4,40.8,41,18.6
165,165.2,187.2,187
18.6,41,41.2,18.8
201.6,201.8,223.8,223.4
19,41.2,41.4,19.2
